KEY, volume, high, at, last, quote_unit, low, sell, buy, name, type, base_unit, open, 
thetabtc, 36.5, 0.0001249, 1635955792, 0.000115, btc, 0.000115, 0.0001185, 0.0001165, THETA/BTC, SPOT, theta, 0.0001244, 
repusdt, 39.975, 25.95, 1635955792, 24.681, usdt, 24.681, 24.87, 24.64, REP/USDT, SPOT, rep, 25.95, 
reefusdt, 1899339.0, 0.038749, 1635955793, 0.03555, usdt, 0.034, 0.03592, 0.03546, REEF/USDT, SPOT, reef, 0.03478, 
chzusdt, 523872.0, 0.506848, 1635955793, 0.448901, usdt, 0.437444, 0.451699, 0.45, CHZ/USDT, SPOT, chz, 0.479494, 
stxinr, 124092.67, 165.125, 1635955792, 151.001, inr, 147.999, 154.906, 152.001, STX/INR, SPOT, stx, 151.8, 
ilvusdt, 34.751, 1317.6, 1635955793, 1180.9, usdt, 1156.3, 1209.7, 1193.7, ILV/USDT, SPOT, ilv, 1195.0, 
stmxbtc, 47761.0, 0.00000055, 1635955792, 0.00000053, btc, 0.0000005, 0.00000053, 0.0000005, STMX/BTC, SPOT, stmx, 5.4E-7, 
pntinr, 131267.65, 90.0, 1635955792, 89.026, inr, 86.38, 89.025, 88.2, PNT/INR, SPOT, pnt, 87.489, 
enjusdt, 52131.3, 3.19999, 1635955792, 2.85898, usdt, 2.75, 2.86799, 2.85001, ENJ/USDT, SPOT, enj, 2.99499, 
vgxusdt, 2182.0, 2.757, 1635955793, 2.51, usdt, 2.448, 2.579, 2.51, VGX/USDT, SPOT, vgx, 2.685, 
celrusdt, 715928.0, 0.12626, 1635955792, 0.1188, usdt, 0.11671, 0.11969, 0.11915, CELR/USDT, SPOT, celr, 0.12534, 
tomousdt, 5165.93, 2.856, 1635955793, 2.662, usdt, 2.6291, 2.688, 2.663, TOMO/USDT, SPOT, tomo, 2.75, 
egldinr, 278.122, 22664.87, 1635955792, 22448.98, inr, 21051.0, 22418.0, 22068.21, EGLD/INR, SPOT, egld, 21245.41, 
adawrx, 298875.3, 1.2958, 1635955793, 1.2489, wrx, 0.5, 1.2429, 1.224, ADA/WRX, SPOT, ada, 1.2958, 
arkinr, 88552.0, 158.0, 1635955792, 153.5, inr, 138.0, 153.54, 153.5, ARK/INR, SPOT, ark, 143.89, 
tfuelusdt, 62372.0, 0.3778, 1635955792, 0.34811, usdt, 0.3474, 0.35088, 0.3489, TFUEL/USDT, SPOT, tfuel, 0.35979, 
xemusdt, 140242.0, 0.2286, 1635955793, 0.205, usdt, 0.19, 0.2079, 0.205, XEM/USDT, SPOT, xem, 0.2028, 
mirusdt, 28872.545, 4.0, 1635955793, 3.637, usdt, 3.142, 3.662, 3.607, MIR/USDT, SPOT, mir, 3.235, 
degousdt, 727.73, 10.35, 1635955793, 9.47, usdt, 9.41, 9.47, 9.45, DEGO/USDT, SPOT, dego, 9.56, 
sntbtc, 261625.0, 0.00000157, 1635955792, 0.00000147, btc, 0.00000145, 0.00000155, 0.00000148, SNT/BTC, SPOT, snt, 0.00000152, 
storjusdt, 12620.0, 1.8925, 1635955793, 1.7, usdt, 1.6526, 1.7, 1.6902, STORJ/USDT, SPOT, storj, 1.8925, 
bcdusdt, 10343.6, 2.339, 1635955793, 2.22, usdt, 1.9578, 2.22, 2.1193, BCD/USDT, SPOT, bcd, 2.0249, 
zrxbtc, 357.36, 0.0000223, 1635955792, 0.00001967, btc, 0.00001962, 0.00001967, 0.00001928, ZRX/BTC, SPOT, zrx, 0.00002019, 
reqbtc, 2992.04, 0.00000356, 1635955792, 0.00000353, btc, 0.00000334, 0.00000352, 0.00000333, REQ/BTC, SPOT, req, 0.00000345, 
suninr, 0.0, 0.0, 1635955792, 0.0, inr, 0.0, 0.0, 0.0, SUN/INR, SPOT, sun, 0.0, 
funbtc, 147608.0, 0.00000033, 1635955792, 0.0000003, btc, 0.0000003, 0.00000032, 0.0000003, FUN/BTC, SPOT, fun, 3.1E-7, 
glmbtc, 0.0, 0.0, 1635955792, 0.0, btc, 0.0, 0.0, 0.0, GLM/BTC, SPOT, glm, 0.0, 
scrtinr, 0.0, 0.0, 1635955792, 0.0, inr, 0.0, 0.0, 0.0, SCRT/INR, SPOT, scrt, 0.0, 
frontinr, 442222.34, 91.5, 1635955792, 88.999, inr, 88.0, 89.0, 88.608, FRONT/INR, SPOT, front, 90.605, 
